Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6862.80 Mobile Safari/537.36 Telegram-Android/11.2.5 (Realme RMX3312; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6826.51 Mobile Safari/537.36 Telegram-Android/11.1.2 (ASUS ASUS_I003DD; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 13; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6778.69 Mobile Safari/537.36 Telegram-Android/11.1.2 (AT&T G767U; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6777.49 Mobile Safari/537.36 Telegram-Android/11.1.7 (Google GVU6C; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6805.97 Mobile Safari/537.36 Telegram-Android/11.0.7 (AT&T G998U; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6773.65 Mobile Safari/537.36 Telegram-Android/11.2.1 (Lenovo TB571K; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6873.90 Mobile Safari/537.36 Telegram-Android/11.3.0 (Xiaomi M2102J20SG; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6894.64 Mobile Safari/537.36 Telegram-Android/11.3.0 (ZTE P892N21; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 13; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6855.80 Mobile Safari/537.36 Telegram-Android/11.1.0 (Google GFE4J; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6810.39 Mobile Safari/537.36 Telegram-Android/11.0.9 (ASUS ASUS_I002D; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 14; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6871.67 Mobile Safari/537.36 Telegram-Android/11.1.8 (Google GVU6C; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6776.83 Mobile Safari/537.36 Telegram-Android/11.0.4 (Samsung SM-S918N; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6895.55 Mobile Safari/537.36 Telegram-Android/11.2.0 (OPPO PERM00; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 13; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6722.47 Mobile Safari/537.36 Telegram-Android/11.1.0 (Samsung SM-S901N; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6777.43 Mobile Safari/537.36 Telegram-Android/11.1.7 (ZTE P892N22; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 14; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6766.56 Mobile Safari/537.36 Telegram-Android/11.0.6 (Infinix X6810; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6846.70 Mobile Safari/537.36 Telegram-Android/11.3.0 (vivo V2219A; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6772.66 Mobile Safari/537.36 Telegram-Android/11.0.9 (OnePlus CPH2477; Android 13; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6861.60 Mobile Safari/537.36 Telegram-Android/11.3.0 (Samsung SM-S901N; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6740.57 Mobile Safari/537.36 Telegram-Android/11.3.0 (vivo V2245A; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6885.71 Mobile Safari/537.36 Telegram-Android/11.2.6 (OPPO PERM00; Android 13; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6746.84 Mobile Safari/537.36 Telegram-Android/11.2.6 (Lenovo L71122; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6765.65 Mobile Safari/537.36 Telegram-Android/11.2.4 (Infinix X6711; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6831.87 Mobile Safari/537.36 Telegram-Android/11.0.0 (Google G025J; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6817.69 Mobile Safari/537.36 Telegram-Android/11.3.0 (vivo V2245A; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6885.40 Mobile Safari/537.36 Telegram-Android/11.3.0 (vivo V2151; Android 13; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6840.42 Mobile Safari/537.36 Telegram-Android/11.3.0 (Realme RMX3701; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6716.62 Mobile Safari/537.36 Telegram-Android/11.1.8 (ZTE NX666J; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6798.42 Mobile Safari/537.36 Telegram-Android/11.1.0 (Huawei JLN-LX9; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 14; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6727.65 Mobile Safari/537.36 Telegram-Android/11.1.8 (ASUS ASUS_X00TD; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6846.85 Mobile Safari/537.36 Telegram-Android/11.2.2 (OPPO PDHM00; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 14; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6774.61 Mobile Safari/537.36 Telegram-Android/11.3.0 (Xiaomi 2301BDDSG; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6880.43 Mobile Safari/537.36 Telegram-Android/11.3.0 (OPPO PFFM10; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6874.39 Mobile Safari/537.36 Telegram-Android/11.3.0 (vivo V2245A; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6854.80 Mobile Safari/537.36 Telegram-Android/11.1.7 (Google G1AZG; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6710.96 Mobile Safari/537.36 Telegram-Android/11.0.8 (vivo V2202A; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6727.79 Mobile Safari/537.36 Telegram-Android/11.1.2 (ZTE NX669J; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 14; B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6857.80 Mobile Safari/537.36 Telegram-Android/11.1.6 (Huawei CET-LX9; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6858.43 Mobile Safari/537.36 Telegram-Android/11.2.9 (OPPO PGBM10; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 14; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6765.49 Mobile Safari/537.36 Telegram-Android/11.2.2 (ASUS ASUS_I003DD; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6881.33 Mobile Safari/537.36 Telegram-Android/11.2.2 (Infinix X659B; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 13; P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6737.46 Mobile Safari/537.36 Telegram-Android/11.1.8 (ZTE P892N22; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6825.69 Mobile Safari/537.36 Telegram-Android/11.2.3 (Huawei CET-LX9; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6810.56 Mobile Safari/537.36 Telegram-Android/11.1.6 (Xiaomi M2102J20SG; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6864.38 Mobile Safari/537.36 Telegram-Android/11.1.7 (Samsung SM-A536B; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6762.44 Mobile Safari/537.36 Telegram-Android/11.0.5 (Xiaomi 2301BPN27C; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 14; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6813.52 Mobile Safari/537.36 Telegram-Android/11.2.3 (Lenovo L71061; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6762.91 Mobile Safari/537.36 Telegram-Android/11.0.3 (Xiaomi 22011119TI; Android 13; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6897.55 Mobile Safari/537.36 Telegram-Android/11.0.0 (AT&T N986U; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 13; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6883.96 Mobile Safari/537.36 Telegram-Android/11.0.2 (ZTE P892N22; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 13; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6709.78 Mobile Safari/537.36 Telegram-Android/11.2.4 (Xiaomi 2305EPA48C; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6797.52 Mobile Safari/537.36 Telegram-Android/11.3.0 (AT&T G998U; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6766.60 Mobile Safari/537.36 Telegram-Android/11.3.0 (Google GB7N6; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6788.77 Mobile Safari/537.36 Telegram-Android/11.0.8 (OnePlus CPH2419; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6815.87 Mobile Safari/537.36 Telegram-Android/11.1.8 (Google G025J; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6882.72 Mobile Safari/537.36 Telegram-Android/11.1.6 (AT&T N986U; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6897.66 Mobile Safari/537.36 Telegram-Android/11.3.0 (Realme RMX3312; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6871.59 Mobile Safari/537.36 Telegram-Android/11.2.4 (AT&T A042U; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6899.58 Mobile Safari/537.36 Telegram-Android/11.2.2 (AT&T N986U; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6815.63 Mobile Safari/537.36 Telegram-Android/11.1.2 (ZTE NX709J; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6738.65 Mobile Safari/537.36 Telegram-Android/11.2.3 (Lenovo TB571K; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6720.67 Mobile Safari/537.36 Telegram-Android/11.3.0 (Samsung SM-S906N; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6729.30 Mobile Safari/537.36 Telegram-Android/11.3.0 (Samsung SM-A146B; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6715.44 Mobile Safari/537.36 Telegram-Android/11.1.3 (ASUS ASUS_AI2205; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6867.34 Mobile Safari/537.36 Telegram-Android/11.0.7 (AT&T G767U; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6766.83 Mobile Safari/537.36 Telegram-Android/11.0.4 (AT&T A146U; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 13; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6760.70 Mobile Safari/537.36 Telegram-Android/11.1.9 (Samsung SM-S906N; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6717.32 Mobile Safari/537.36 Telegram-Android/11.3.0 (Xiaomi M2102J20SG; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6820.39 Mobile Safari/537.36 Telegram-Android/11.2.6 (vivo V2218A; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6843.66 Mobile Safari/537.36 Telegram-Android/11.2.8 (OPPO PFEM10; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6859.90 Mobile Safari/537.36 Telegram-Android/11.0.2 (ASUS ASUS_X01AD; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6718.78 Mobile Safari/537.36 Telegram-Android/11.1.7 (Samsung SM-S901B; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6889.87 Mobile Safari/537.36 Telegram-Android/11.2.8 (Xiaomi 23046PNC9C; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6724.41 Mobile Safari/537.36 Telegram-Android/11.2.6 (Samsung SM-A047F; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6848.65 Mobile Safari/537.36 Telegram-Android/11.1.6 (Infinix X6810; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6789.64 Mobile Safari/537.36 Telegram-Android/11.3.0 (OPPO PDCM00; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 13; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6873.97 Mobile Safari/537.36 Telegram-Android/11.0.1 (Lenovo L71122; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6794.60 Mobile Safari/537.36 Telegram-Android/11.0.2 (Samsung SM-S918B; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6809.63 Mobile Safari/537.36 Telegram-Android/11.1.8 (Huawei PPA-LX9; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 13; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6728.69 Mobile Safari/537.36 Telegram-Android/11.0.7 (vivo V2206; Android 13; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6829.73 Mobile Safari/537.36 Telegram-Android/11.1.2 (Samsung SM-A536B; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6778.95 Mobile Safari/537.36 Telegram-Android/11.2.1 (Samsung SM-S916B; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6731.82 Mobile Safari/537.36 Telegram-Android/11.3.0 (Xiaomi 2201117TY; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6867.97 Mobile Safari/537.36 Telegram-Android/11.0.0 (Samsung SM-A546B; Android 13; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6778.58 Mobile Safari/537.36 Telegram-Android/11.3.0 (Xiaomi 22011119TI; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 13; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6713.89 Mobile Safari/537.36 Telegram-Android/11.3.0 (Samsung SM-S911B; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6789.53 Mobile Safari/537.36 Telegram-Android/11.2.9 (Realme RMX3761; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6892.58 Mobile Safari/537.36 Telegram-Android/11.1.4 (Huawei PAL-L29; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6791.52 Mobile Safari/537.36 Telegram-Android/11.1.3 (AT&T N986U; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6787.84 Mobile Safari/537.36 Telegram-Android/11.0.7 (ASUS ASUS_I002D; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6716.60 Mobile Safari/537.36 Telegram-Android/11.0.1 (AT&T G998U; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6859.73 Mobile Safari/537.36 Telegram-Android/11.1.8 (Xiaomi 23046PNC9C; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6863.79 Mobile Safari/537.36 Telegram-Android/11.0.3 (ASUS ASUS_AI2205; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 13; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6726.52 Mobile Safari/537.36 Telegram-Android/11.3.0 (Realme RMX3762; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6721.72 Mobile Safari/537.36 Telegram-Android/11.1.2 (OPPO CPH2459; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 13; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6883.77 Mobile Safari/537.36 Telegram-Android/11.2.4 (ZTE NX701J; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6806.93 Mobile Safari/537.36 Telegram-Android/11.1.3 (Infinix X659B; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 13; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6706.95 Mobile Safari/537.36 Telegram-Android/11.1.9 (OnePlus LE2101; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6789.89 Mobile Safari/537.36 Telegram-Android/11.1.8 (Infinix X670; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6720.76 Mobile Safari/537.36 Telegram-Android/11.0.5 (ASUS ASUS_I003DD; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 13; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6822.36 Mobile Safari/537.36 Telegram-Android/11.2.4 (ASUS ASUS_I002DB; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 14; G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6840.32 Mobile Safari/537.36 Telegram-Android/11.0.3 (OnePlus NE2211; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6778.46 Mobile Safari/537.36 Telegram-Android/11.2.9 (OPPO PDCM00; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 13; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6896.76 Mobile Safari/537.36 Telegram-Android/11.2.4 (ASUS ASUS_I004B; Android 13; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6703.67 Mobile Safari/537.36 Telegram-Android/11.1.5 (ZTE NX719J; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6826.67 Mobile Safari/537.36 Telegram-Android/11.1.8 (OnePlus PGZ110; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6810.91 Mobile Safari/537.36 Telegram-Android/11.0.6 (ASUS ASUS_I004B; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 14; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6716.46 Mobile Safari/537.36 Telegram-Android/11.2.4 (OnePlus NE2211; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6856.71 Mobile Safari/537.36 Telegram-Android/11.1.4 (Lenovo L71061; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6826.86 Mobile Safari/537.36 Telegram-Android/11.2.9 (Lenovo TB450K; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6764.61 Mobile Safari/537.36 Telegram-Android/11.1.2 (AT&T G998U; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6797.83 Mobile Safari/537.36 Telegram-Android/11.1.3 (OPPO PFEM10; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6724.37 Mobile Safari/537.36 Telegram-Android/11.0.9 (Samsung SM-A346B; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 13; R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6750.97 Mobile Safari/537.36 Telegram-Android/11.2.4 (Infinix X662; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6802.81 Mobile Safari/537.36 Telegram-Android/11.0.4 (AT&T A146U; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6895.41 Mobile Safari/537.36 Telegram-Android/11.0.7 (AT&T A526U; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6798.34 Mobile Safari/537.36 Telegram-Android/11.2.4 (OPPO CPH2459; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 13; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6708.61 Mobile Safari/537.36 Telegram-Android/11.1.1 (ZTE NX701J; Android 13; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6706.46 Mobile Safari/537.36 Telegram-Android/11.3.0 (ASUS ASUS_AI2201; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6786.60 Mobile Safari/537.36 Telegram-Android/11.2.6 (Realme RMX3687; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 13; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6878.76 Mobile Safari/537.36 Telegram-Android/11.1.0 (Infinix X670; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6853.57 Mobile Safari/537.36 Telegram-Android/11.0.7 (AT&T G998U; Android 14; SDK 34; HIGH)
